ID	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	meanCounts
mmu.miR.1843a.5p_MIMAT0014805_Mus_musculus_miR.1843a.5p	-0.32641930848201	-0.825393423412984	0.172554806448964	6.67500579099816	-1.36298638619177	0.187760846487699	0.447838450619346	-5.98959319356794	192.055832755093
mmu.miR.1843b.5p_MIMAT0019345_Mus_musculus_miR.1843b.5p	0.0864126787794612	-0.478890201611328	0.651715559170251	6.12126753349863	0.318485719730037	0.75335804714988	0.883908929769985	-6.84990472995588	131.6625721823
mmu.miR.185.3p_MIMAT0016996_Mus_musculus_miR.185.3p	-0.658113782693439	-1.56494676636568	0.248719200978798	3.02840546414147	-1.51205424670608	0.145875770956802	0.384928735927897	-5.35466095428451	15.7252262829652
mmu.miR.185.5p_MIMAT0000214_Mus_musculus_miR.185.5p	-0.302514085793055	-0.697569635078071	0.0925414634919617	8.91547542153219	-1.59544239707016	0.126007655783325	0.360189585755209	-5.71451109459473	894.01523039225
mmu.miR.186.5p_MIMAT0000215_Mus_musculus_miR.186.5p	-0.427398275700002	-0.864949351536146	0.0101528001361424	9.03409094719613	-2.03515599620105	0.0550518409768579	0.215086262421212	-5.0042277973456	978.117936088084
mmu.miR.187.3p_MIMAT0000216_Mus_musculus_miR.187.3p	-0.342453993620472	-0.9942936960978	0.309385708856855	3.54622271400261	-1.09459918451088	0.286463487044844	0.555298451810005	-6.00913471031642	21.9261443997089
mmu.miR.188.5p_MIMAT0000217_Mus_musculus_miR.188.5p	0.511081940750966	-0.709339441029276	1.73150332253121	0.998930571342183	0.872518052923212	0.393091992976278	0.650464703950351	-5.80006592084577	3.7630758279233
mmu.miR.18a.3p_MIMAT0004626_Mus_musculus_miR.18a.3p	0.0190339024018611	-1.25909008863605	1.29715789343977	3.13927407973333	0.0310276258180595	0.975549427004179	0.992864609294891	-6.57804259235001	18.0795995792111
mmu.miR.18a.5p_MIMAT0000528_Mus_musculus_miR.18a.5p	-0.0162058831497198	-0.733034511357516	0.700622745058076	5.29819390496112	-0.047103269782718	0.962889551523249	0.988383572235677	-6.85837409526437	78.76013046226
mmu.miR.18b.5p_MIMAT0004858_Mus_musculus_miR.18b.5p	-0.442851889668584	-1.33010849698851	0.444404717651344	2.33590897538807	-1.0399272394933	0.310557183036015	0.567209430515403	-5.8004313282164	9.64373925983814
mmu.miR.190a.5p_MIMAT0000220_Mus_musculus_miR.190a.5p	-0.267615857863045	-2.1903011184834	1.65506940275732	1.39238643721677	-0.289999561736162	0.774747275368079	0.890965723135495	-6.00388884234772	5.78284597546177
mmu.miR.190b.5p_MIMAT0004852_Mus_musculus_miR.190b.5p	-0.0660876797392482	-1.20135222625344	1.06917686677494	1.61351462297172	-0.121287801321529	0.904651239893965	0.960395209126044	-6.17914859937152	5.63748697748613
